1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-23,-40,-39,-53,-54,-45,-52,-57,-56,-57,-51,-54,-53,-53,-54,-52,-62,-56,-61,-56,-63
-23,-42,-39,-53,-53,-45,-57,-58,-56,-51,-76,-54,-51,-53,-52,-51,-62,-55,-73,-56,-55
-23,-40,-39,-57,-53,-45,-52,-44,-57,-52,-51,-54,-52,-53,-52,-52,-62,-55,-73,-56,-55
-22,-35,-40,-53,-52,-46,-52,-44,-56,-51,-52,-54,-52,-53,-53,-52,-62,-55,-73,-55,-55
-22,-36,-40,-53,-52,-48,-52,-55,-55,-52,-51,-55,-51,-53,-52,-52,-62,-55,-73,-55,-64
-22,-35,-39,-53,-59,-46,-50,-44,-53,-52,-74,-54,-52,-53,-52,-51,-64,-55,-73,-55,-55
-22,-36,-39,-53,-53,-48,-50,-44,-54,-57,-52,-59,-51,-53,-52,-52,-65,-55,-56,-56,-56
-22,-35,-39,-47,-44,-46,-51,-44,-54,-52,-51,-55,-52,-51,-54,-52,-71,-56,-74,-61,-55
-26,-40,-39,-48,-45,-48,-53,-45,-54,-52,-52,-55,-52,-53,-52,-51,-74,-55,-62,-56,-56
-27,-39,-40,-48,-54,-48,-51,-43,-54,-52,-61,-55,-52,-53,-52,-54,-63,-56,-73,-55,-64
-27,-38,-40,-48,-53,-46,-51,-43,-58,-52,-51,-55,-51,-53,-52,-51,-76,-56,-62,-54,-63
-26,-40,-40,-48,-53,-46,-53,-43,-62,-52,-52,-55,-53,-53,-52,-52,-76,-56,-72,-55,-63
-27,-40,-42,-48,-53,-46,-53,-43,-58,-52,-51,-55,-53,-53,-52,-51,-62,-54,-61,-56,-55
-26,-40,-41,-52,-53,-48,-52,-43,-64,-50,-51,-55,-53,-53,-52,-51,-62,-53,-63,-55,-56
-27,-41,-41,-53,-53,-48,-51,-43,-61,-52,-52,-55,-53,-53,-52,-51,-61,-55,-73,-55,-63
-26,-38,-39,-48,-53,-46,-52,-45,-62,-51,-50,-55,-53,-54,-52,-52,-64,-55,-62,-55,-64
-26,-39,-40,-49,-53,-48,-51,-45,-59,-51,-50,-56,-54,-53,-52,-52,-62,-59,-62,-55,-64
-27,-40,-41,-49,-54,-46,-52,-46,-61,-52,-51,-58,-53,-53,-52,-51,-63,-56,-73,-55,-64
-27,-39,-40,-48,-53,-48,-61,-46,-59,-52,-74,-55,-54,-54,-52,-51,-63,-56,-56,-56,-64
-27,-41,-40,-48,-54,-48,-52,-46,-61,-52,-61,-55,-53,-52,-52,-51,-62,-55,-73,-55,-64
-27,-40,-40,-53,-54,-46,-52,-45,-55,-52,-81,-55,-54,-52,-52,-52,-62,-55,-62,-55,-65
-26,-40,-40,-53,-46,-46,-49,-46,-55,-52,-83,-55,-54,-52,-52,-51,-63,-56,-74,-56,-65
-27,-39,-39,-52,-45,-46,-49,-46,-57,-52,-81,-55,-54,-53,-52,-52,-59,-59,-62,-55,-64
-26,-41,-40,-53,-46,-46,-50,-46,-57,-51,-82,-58,-53,-53,-52,-52,-58,-56,-62,-55,-65
-32,-41,-39,-53,-45,-46,-50,-46,-59,-50,-82,-61,-54,-53,-52,-51,-63,-55,-73,-55,-56
